Cluster 1: Non-hair cells I					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT1G28290	AGP31	0	2.33	0.93	0.23
AT2G43610		0	2.07	0.96	0.29
AT1G54000	GLL22	0	2.00	0.83	0.19
AT5G10130		0	1.99	0.84	0.17
AT3G16410	NSP4	0	1.70	0.78	0.21
AT5G26260		0	1.69	0.96	0.46
AT1G66270	BGLU21	0	1.51	0.84	0.28
AT5G23820	ATML3	0	1.41	0.79	0.30
AT1G66280	BGLU22	0	1.32	0.90	0.48
AT3G16420	PBPI	0	0.91	0.90	0.47
AT1G25275		0	0.88	0.88	0.41
AT3G15950	NAI2	3.24E-293	1.04	0.81	0.40
AT5G02260	EXPA9	2.62E-274	0.80	0.80	0.37
AT3G09260	PYK10	1.96E-266	0.70	0.96	0.68
AT3G16460	JAL34	4.15E-252	0.87	0.89	0.52
AT1G17180	GSTU25	5.84E-244	0.64	0.95	0.65
AT4G19030	NLM1	8.83E-228	0.84	0.77	0.36
AT5G62700	TUB3	9.65E-201	0.82	0.78	0.44
AT4G21830	MSRB7	1.28E-118	0.73	0.77	0.54

