Cluster 11: Endodermis I					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT1G05260	RCI3A	0	3.48	1.00	0.11
AT2G14900		0	3.15	0.97	0.09
AT4G11290		0	3.10	0.96	0.07
AT3G22600	LTPG5	0	2.49	0.93	0.22
AT5G57620	MYB36	0	2.21	0.82	0.07
AT4G26320	AGP13	0	2.20	0.95	0.31
AT3G22620		0	2.08	0.87	0.17
AT3G32980		0	1.95	0.87	0.09
AT1G02900	RALFL1	0	1.94	0.81	0.19
AT3G45070	SULT202B1	0	1.93	0.79	0.16
AT1G55330	ATAGP21	0	1.80	0.99	0.47
AT3G17820	GLN1;3	0	1.69	0.94	0.37
AT1G13420	ST4B	0	1.60	0.89	0.22
AT1G75750	GASA1	0	1.58	0.95	0.51
AT2G44790	UCC2	0	1.47	0.99	0.59
AT2G37170	PIP2B	0	1.43	0.99	0.53
AT2G32300	UCC1	0	1.41	0.76	0.11
AT3G56240	CCH	0	1.37	0.96	0.45
AT5G04120		0	1.33	0.86	0.29
AT3G13520	ATAGP12	0	1.24	1.00	0.64
AT5G40450		4.41E-302	1.23	0.99	0.55
AT5G65390	AGP7	2.01E-297	1.38	0.88	0.33
AT2G43150		5.16E-286	1.13	0.96	0.48
AT3G53420	PIP2A	1.11E-277	1.20	0.98	0.59
AT4G13340	LRX3	2.66E-267	1.23	0.77	0.29
AT2G36830	TIP1;1	1.69E-263	1.03	0.98	0.53
AT3G16240	TIP2;1	1.31E-256	1.06	0.98	0.60
AT1G52760	LysoPL2	1.13E-246	1.12	0.82	0.33
AT1G09560	PDGLP1	5.06E-245	1.11	0.90	0.55
AT4G12520		7.40E-239	1.23	0.85	0.35
AT4G12510		1.86E-236	1.08	0.86	0.34
AT4G34050	CCoAOMT1	4.01E-234	0.90	0.99	0.53
AT4G09030	ATAGP10	4.11E-223	1.13	0.81	0.37
AT4G24220	VEP1	1.51E-218	1.11	0.81	0.39
AT1G62480		7.44E-210	0.89	0.91	0.47
AT2G45960	TMP-A	2.36E-209	1.01	0.97	0.68
AT3G61430	PIP1A	1.12E-208	0.91	0.93	0.50
AT1G01620	TMP-B	5.67E-190	0.90	0.98	0.69
AT5G56540	ATAGP14	3.15E-188	0.80	0.93	0.48
AT5G46890		8.39E-181	0.80	0.95	0.51
AT5G11740	ATAGP15	8.98E-167	0.82	0.93	0.68
AT4G16380		5.85E-165	0.91	0.84	0.51
AT4G01070	UGT72B1	2.02E-160	0.93	0.76	0.37
AT3G18820	RABG3F	3.71E-152	0.81	0.84	0.49
AT3G05900		9.34E-139	0.80	0.78	0.36
AT4G23100	RML1	5.28E-138	0.81	0.80	0.45
AT5G53250	ATAGP22	4.58E-131	0.79	0.86	0.48
AT1G61890		3.06E-120	0.94	0.76	0.47
AT1G17190	GSTU26	2.31E-118	0.81	0.91	0.75
AT2G46330	ATAGP16	4.27E-84	0.80	0.80	0.57

