Cluster 12: Endodermis II					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT3G55230		0	3.69	0.96	0.05
AT3G11550	CASP2	0	3.65	0.96	0.06
AT2G28670	ESB1	0	3.64	0.99	0.12
AT2G36100	CASP1	0	3.64	0.99	0.10
AT5G66390	PRX72	0	3.63	0.98	0.09
AT3G24020		0	3.53	0.96	0.06
AT4G13580		0	3.45	0.93	0.05
AT5G42180	PER64	0	3.44	0.96	0.07
AT2G27370	CASP3	0	3.25	0.91	0.06
AT1G30750		0	3.22	0.89	0.05
AT2G39430		0	3.16	0.89	0.05
AT5G15290	CASP5	0	3.15	0.91	0.09
AT1G71740		0	3.10	0.83	0.02
AT5G06200	CASP4	0	3.06	0.88	0.04
AT2G30210	LAC3	0	3.05	0.90	0.03
AT2G40113		0	3.04	0.84	0.02
AT2G32300	UCC1	0	2.85	0.94	0.11
AT4G02090		0	2.70	0.76	0.03
AT1G44970		0	2.67	0.81	0.02
AT5G65530		0	2.65	0.79	0.02
AT4G17215		0	2.62	0.85	0.06
AT3G22620		0	2.58	0.98	0.17
AT1G61590	SGN1	0	2.40	0.91	0.07
AT4G26140	BGAL12	0	2.10	0.76	0.12
AT3G56240	CCH	0	2.08	0.96	0.46
AT3G53260	PAL2	0	2.07	0.83	0.18
AT3G22600	LTPG5	0	2.05	0.97	0.22
AT3G16340	PDR1	0	1.95	0.79	0.09
AT4G20140	SGN3	0	1.93	0.78	0.09
AT2G38400	AGT3	0	1.77	0.85	0.29
AT5G65020	AtANN2	0	1.59	0.95	0.52
AT3G32980		0	1.48	0.80	0.10
AT4G13660	PRR2	0	1.42	0.84	0.30
AT2G40060	CLC2	9.14E-302	1.61	0.86	0.34
AT5G44790	RAN1	1.14E-286	1.40	0.76	0.25
AT1G02500	SAM-1	5.06E-281	1.60	0.94	0.51
AT2G44160	MTHFR2	1.83E-265	1.31	0.79	0.27
AT5G59490		9.98E-261	1.47	0.83	0.34
AT4G34230	CAD-5	1.68E-254	1.31	0.79	0.27
AT2G37040	PAL1	3.55E-251	1.06	0.89	0.31
AT3G19450	CAD-C	9.76E-240	1.45	0.96	0.49
AT4G01070	UGT72B1	5.05E-213	1.17	0.84	0.37
AT4G34050	CCoAOMT1	1.67E-211	1.16	0.97	0.53
AT4G24960	HVA22D	8.31E-189	1.21	0.80	0.38
AT3G09270	GSTU8	1.33E-186	1.14	0.82	0.39
AT4G25570	ACYB-2	1.56E-169	1.08	0.84	0.46
AT5G10830		1.56E-168	1.07	0.80	0.39
AT3G49780	PSK4	3.40E-163	1.11	0.77	0.37
AT5G55850	NOI	1.35E-156	1.15	0.92	0.59
AT3G05500		4.02E-124	1.13	0.82	0.53

