Cluster 16: Stele IV					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT2G02130	PDF2.3	0	3.10	0.84	0.06
AT4G11210		0	2.38	0.80	0.11
AT1G62480		0	1.85	0.94	0.47
AT3G14990	DJ-1a	0	1.72	0.94	0.36
AT2G37040	PAL1	1.06E-265	1.24	0.84	0.31
AT4G34050	CCoAOMT1	9.00E-265	1.36	0.97	0.53
AT1G02500	SAM-1	4.29E-245	1.52	0.88	0.51
AT1G75750	GASA1	2.08E-242	1.10	0.95	0.51
AT1G13440	GAPC-2	1.81E-233	1.27	0.92	0.63
AT5G56540	ATAGP14	1.30E-230	1.36	0.91	0.49
AT5G17920	ATMS1	1.33E-194	1.14	0.92	0.66
AT4G13940	SAHH1	1.38E-185	1.07	0.95	0.69
AT1G20440	RD17	2.14E-178	0.82	0.99	0.75
AT3G19450	CAD-C	1.01E-167	0.90	0.89	0.49
AT4G09030	ATAGP10	3.35E-148	0.96	0.76	0.38
AT1G22410		3.99E-136	1.05	0.77	0.44
AT2G30490	REF3	2.86E-135	0.97	0.78	0.45
AT5G12140	CYS1	2.62E-131	0.80	0.79	0.47
AT2G36880	MAT3	3.62E-129	1.12	0.77	0.51
AT4G13930	SHM4	4.94E-118	0.93	0.81	0.52
AT4G36990	TBF1	2.56E-106	0.84	0.77	0.45
AT1G65930	cICDH	2.60E-95	0.65	0.90	0.72
AT2G45820		2.60E-89	0.59	0.85	0.54
AT2G32240		7.35E-79	0.79	0.79	0.53
AT2G29440	GSTU6	4.34E-73	0.79	0.76	0.49
AT2G30870	GSTF10	3.90E-71	0.51	0.92	0.73
AT2G36530	LOS2	7.35E-70	0.64	0.76	0.54
AT1G20450	LTI45	2.12E-30	0.50	0.87	0.72

