Cluster 17: Hair cells					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT3G54580		0	3.09	0.90	0.07
AT3G62680	PRP3	0	2.94	0.76	0.04
AT3G54590	HRGP1	0	2.92	0.83	0.05
AT4G40090	AGP3	0	2.87	0.76	0.04
AT5G14330		0	2.64	0.91	0.17
AT1G30870		0	2.62	0.82	0.04
AT3G09925		0	2.59	0.83	0.04
AT1G01750	ADF11	0	2.57	0.84	0.05
AT4G01480	PPa5	0	2.43	0.93	0.21
AT5G05500	MOP10	0	2.39	0.78	0.03
AT4G00680	ADF8	0	2.39	0.75	0.02
AT1G58270	ZW9	0	2.39	0.93	0.29
AT2G34910		0	2.01	0.76	0.07
AT3G28550		0	1.90	0.96	0.23
AT2G01540		0	1.83	0.82	0.13
AT1G23720		0	1.79	0.91	0.19
AT5G44020		0	1.75	0.96	0.40
AT5G17820		0	1.65	0.93	0.20
AT3G07880	SCN1	0	1.59	0.81	0.16
AT2G46140		0	1.54	0.93	0.39
AT5G65930	ZWI	0	1.54	0.77	0.19
AT1G35670	CPK11	0	1.51	0.79	0.15
AT5G39320	UDG4	0	1.49	0.83	0.26
AT1G35720	OXY5	0	1.46	0.95	0.60
AT4G37070	PLP1	0	1.41	0.76	0.16
AT2G21045		0	1.39	0.81	0.16
AT5G40510		0	1.38	0.75	0.12
AT3G24670		0	1.33	0.76	0.21
AT5G15650	RGP2	0	1.32	0.93	0.52
AT2G47650	UXS4	0	1.31	0.78	0.22
AT4G33120		0	1.28	0.77	0.22
AT5G11110	SPSA2	0	1.26	0.79	0.35
AT1G62660		0	1.26	0.87	0.35
AT3G08580	AAC1	0	1.22	0.97	0.71
AT1G66270	BGLU21	0	1.22	0.82	0.28
AT3G02230	RGP1	0	1.20	0.85	0.47
AT5G40730	ATAGP24	0	1.18	0.98	0.58
AT3G16460	JAL34	0	1.17	0.94	0.51
AT3G19390		0	1.14	0.82	0.36
AT3G18780	LSR2	0	1.13	0.96	0.69
AT1G63220		0	1.12	0.84	0.32
AT5G05370		0	1.10	0.83	0.43
AT4G22666		0	1.09	0.85	0.19
AT1G49240	FIZ1	0	1.06	0.97	0.63
AT2G17720	P4H5	0	1.06	0.78	0.34
AT5G44610	PCAP2	0	1.05	0.83	0.30
AT5G43830		0	1.04	0.85	0.48
AT4G17340	TIP2;2	0	1.03	0.81	0.30
AT2G19760	PRF1	1.67E-299	1.14	0.90	0.56
AT1G45145	TRX-h5	4.97E-281	1.03	0.90	0.51

