Cluster 3: Non-hair cells III					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT1G51470	TGG5	0	4.70	0.85	0.16
AT1G47600	TGG4	0	4.66	0.93	0.19
AT1G06090		0	3.90	0.98	0.12
AT3G16440	MLP-300B	0	3.76	0.99	0.13
AT3G06460		0	3.45	0.92	0.05
AT1G26820	RNS3	0	3.41	0.79	0.03
AT3G49190		0	3.32	0.97	0.12
AT2G37540		0	2.98	0.83	0.09
AT2G23410	cPT3	0	2.84	0.84	0.05
AT3G03500		0	2.84	0.96	0.15
AT3G48340	CEP2	0	2.56	1.00	0.52
AT5G60530		0	2.52	1.00	0.35
AT4G04460		0	2.49	0.79	0.05
AT1G15385		0	2.30	0.81	0.17
AT1G52060		0	2.23	0.89	0.20
AT4G15160		0	2.21	0.82	0.26
AT2G26670	TED4	0	2.18	0.77	0.16
AT5G44380		0	2.08	0.97	0.44
AT1G52050		0	2.05	0.96	0.19
AT5G23210	SCPL34	0	2.02	0.77	0.28
AT5G04970		0	2.00	0.83	0.17
AT5G24070		0	1.98	0.85	0.15
AT5G02260	EXPA9	0	1.97	0.94	0.37
AT4G19030	NLM1	0	1.85	0.95	0.36
AT5G54370		0	1.84	0.98	0.28
AT1G74020	SS2	0	1.80	0.83	0.39
AT4G00080	UNE11	0	1.78	0.81	0.26
AT3G45010	scpl48	0	1.75	0.79	0.24
AT5G48180	NSP5	0	1.72	0.98	0.44
AT1G17180	GSTU25	0	1.68	1.00	0.66
AT5G43580	UPI	0	1.66	0.79	0.23
AT4G30470		0	1.66	0.81	0.36
AT1G52070		0	1.65	0.92	0.33
AT5G55110		0	1.65	0.88	0.15
AT5G35735		0	1.60	0.85	0.33
AT3G10720		0	1.50	0.75	0.22
AT3G53990		0	1.35	1.00	0.90
AT3G23050	IAA7	3.95E-296	1.25	0.91	0.56
AT1G09070	SRC2	2.09E-295	1.13	0.99	0.71
AT5G44610	PCAP2	1.38E-294	1.42	0.82	0.32
AT1G78340	GSTU22	6.55E-266	1.41	0.81	0.39
AT3G13435		1.00E-238	1.33	0.76	0.36
AT1G17620		1.90E-232	1.24	0.83	0.52
AT4G20260	PCAP1	4.49E-219	0.96	0.98	0.71
AT3G53480	ATPIS1	3.71E-206	1.27	0.80	0.46
AT1G17860		4.73E-206	1.13	0.84	0.52
AT2G43610		6.19E-191	1.03	0.78	0.33
AT4G21990	PRH-26	1.52E-185	1.06	0.84	0.53
AT4G39090	RD19A	4.84E-169	0.93	0.89	0.68
AT1G45145	TRX-h5	7.27E-140	0.96	0.84	0.53

