Cluster 4: Non-hair cells IV					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT2G40205		0	2.07	0.90	0.20
AT5G27850		0	2.03	0.92	0.24
AT5G15200		0	2.02	0.94	0.28
AT3G60245		0	2.02	0.94	0.30
AT5G20290		0	1.98	0.95	0.30
AT4G15910	DI21	0	1.96	0.81	0.15
AT4G27090		0	1.95	0.92	0.29
AT2G27710		0	1.93	0.87	0.20
AT3G08520		0	1.92	0.86	0.16
AT1G27400		0	1.92	0.88	0.17
AT5G16130		0	1.92	0.88	0.17
AT5G18380		0	1.92	0.92	0.24
AT4G16720		0	1.92	0.88	0.20
AT4G18100		0	1.92	0.91	0.25
AT3G09500		0	1.90	0.91	0.24
AT2G37190		0	1.90	0.83	0.14
AT3G53740		0	1.90	0.88	0.24
AT5G02960		0	1.89	0.92	0.25
AT3G56020		0	1.89	0.87	0.22
AT1G43170	RPL3A	0	1.89	0.89	0.22
AT3G22230		0	1.88	0.86	0.17
AT2G34480		0	1.88	0.92	0.26
AT2G19730		0	1.87	0.89	0.23
AT1G77940		0	1.87	0.86	0.21
AT3G59540		0	1.87	0.91	0.28
AT2G25210		0	1.87	0.87	0.20
AT4G33865		0	1.87	0.90	0.28
AT3G52590	UBQ1	0	1.87	0.94	0.35
AT1G15930		0	1.86	0.88	0.19
AT3G49010	RSU2	0	1.85	0.87	0.19
AT2G18020	EMB2296	0	1.85	0.88	0.22
AT5G56710		0	1.85	0.91	0.25
AT3G49910		0	1.85	0.88	0.22
AT1G72370	RPSAA	0	1.84	0.87	0.20
AT3G53020	STV1	0	1.84	0.93	0.32
AT3G11120		0	1.84	0.78	0.12
AT3G55750		0	1.84	0.89	0.22
AT2G32060		0	1.84	0.83	0.14
AT2G39460	RPL23AA	0	1.84	0.90	0.22
AT3G11940	RPS5A	0	1.84	0.92	0.28
AT5G45775		0	1.83	0.85	0.15
AT2G36160		0	1.83	0.84	0.17
AT3G04920		0	1.83	0.86	0.21
AT1G09690		0	1.83	0.89	0.21
AT4G17390		0	1.83	0.89	0.25
AT4G39200		0	1.83	0.93	0.29
AT3G62250	UBQ5	0	1.82	0.90	0.28
AT1G41880		0	1.82	0.86	0.20
AT4G00100	RPS13A	0	1.82	0.88	0.22
AT5G02450		0	1.81	0.90	0.22

