Cluster 6: Columella II					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT5G54370		0	2.78	0.92	0.29
AT1G52070		0	2.41	0.95	0.34
AT5G55110		0	2.39	0.90	0.16
AT1G25275		0	2.26	0.99	0.42
AT1G52050		0	2.19	0.90	0.21
AT1G03220		0	1.94	0.92	0.43
AT4G17940		0	1.88	0.79	0.27
AT4G08555		0	1.85	0.83	0.25
AT1G52060		0	1.85	0.86	0.22
AT5G35735		0	1.83	0.89	0.33
AT5G60530		0	1.78	0.99	0.36
AT1G33590		0	1.71	0.76	0.22
AT1G15385		0	1.70	0.87	0.17
AT4G21990	PRH-26	0	1.57	0.95	0.52
AT2G43610		0	1.14	0.96	0.33
AT1G17180	GSTU25	4.87E-303	1.45	0.98	0.66
AT3G48340	CEP2	1.74E-296	1.19	0.99	0.53
AT2G36950		2.07E-277	1.49	0.87	0.39
AT4G05320	UBQ10	1.83E-266	1.25	0.99	0.77
AT1G76680	OPR1	5.59E-249	1.30	0.97	0.75
AT5G48180	NSP5	1.70E-232	1.22	0.91	0.46
AT2G29420	GSTU7	3.40E-232	1.57	0.84	0.48
AT1G66580	SAG24	5.21E-229	1.37	0.95	0.72
AT1G09070	SRC2	1.01E-221	0.96	0.99	0.72
AT1G17860		5.34E-196	1.11	0.88	0.52
AT5G08790	ATAF2	1.43E-189	0.88	0.98	0.74
AT4G02890	UBQ14	1.09E-185	1.16	0.92	0.66
AT1G78340	GSTU22	1.97E-182	1.22	0.80	0.39
AT1G55920	SERAT2;1	5.65E-168	1.21	0.79	0.47
AT5G53460	GLT1	2.45E-167	1.21	0.85	0.60
AT1G78850		9.59E-157	1.27	0.77	0.45
AT3G23920	TR-BAMY	1.87E-142	0.82	0.92	0.65
AT1G78380	GSTU19	2.09E-141	0.75	0.97	0.93
AT1G76600		5.65E-134	1.03	0.77	0.46
AT3G09440		8.78E-134	1.00	0.86	0.58
AT2G22470	ATAGP2	2.35E-129	0.76	0.97	0.82
AT3G53480	ATPIS1	6.40E-120	0.84	0.80	0.47
AT5G06320	NHL3	7.09E-117	0.78	0.88	0.62
AT5G61820		6.29E-114	0.95	0.82	0.55
AT4G32020		5.09E-109	0.72	0.86	0.57
AT2G46140		7.18E-108	0.77	0.76	0.43
AT4G02380	SAG21	1.02E-93	0.78	0.85	0.57
AT2G41430	LSR1	1.20E-92	0.64	0.97	0.88
AT3G05880	RCI2A	2.16E-89	1.05	0.77	0.61
AT5G07440	GDH2	6.83E-81	0.76	0.82	0.64
AT5G03380		1.51E-79	0.81	0.79	0.56
AT3G05500		6.96E-72	0.63	0.76	0.53
AT3G23050	IAA7	7.89E-71	0.63	0.77	0.57
AT1G32920		3.80E-61	0.66	0.78	0.57
AT4G19200		2.53E-52	0.54	0.77	0.55

