Cluster 7: Cortex I					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT5G16010		0	2.19	0.86	0.14
AT1G13930		5.17E-291	1.05	0.86	0.18
AT4G33905		9.66E-275	1.38	0.78	0.17
AT5G39580		1.56E-271	1.67	0.76	0.16
AT2G29460	GSTU4	1.05E-265	1.30	0.79	0.18
AT5G01380		1.53E-245	1.37	0.86	0.23
AT2G16900		1.35E-239	1.40	0.92	0.32
AT3G47960	NPF2.10	3.10E-239	1.24	0.77	0.19
AT4G30530	GGP1	1.25E-231	1.44	0.99	0.53
AT5G13750	ZIFL1	4.88E-227	1.23	0.79	0.21
AT5G23220	NIC3	8.43E-227	1.25	0.84	0.24
AT1G21310	RSH	2.65E-223	1.32	0.96	0.37
AT1G19020		6.92E-213	1.42	0.91	0.34
AT4G24380		2.38E-212	1.47	0.96	0.40
AT2G29440	GSTU6	8.00E-206	1.24	0.99	0.49
AT3G04010		3.41E-202	1.10	0.77	0.21
AT5G55180		3.10E-198	1.30	0.80	0.24
AT1G28200	FIP1	2.13E-197	1.31	0.86	0.33
AT1G08930	ERD6	2.55E-194	1.25	0.87	0.31
AT4G30280	XTH18	2.13E-186	1.33	0.95	0.42
AT4G02380	SAG21	6.84E-186	1.11	0.99	0.57
AT1G21980	PIP5K1	3.79E-184	1.22	0.80	0.26
AT4G34710	SPE2	2.04E-182	1.33	0.91	0.40
AT1G73080	PEPR1	2.73E-181	1.14	0.76	0.23
AT2G43150		5.64E-181	1.16	0.97	0.50
AT5G15970	ATKIN2	1.85E-179	1.25	0.95	0.42
AT5G58070	TIL	1.14E-177	1.24	0.87	0.34
AT4G17615	SCABP5	2.22E-176	1.27	0.86	0.36
AT5G02230		1.76E-174	1.20	0.94	0.44
AT4G36990	TBF1	4.18E-174	1.08	0.96	0.45
AT4G16760	ATACX1	1.49E-170	1.27	0.81	0.31
AT5G47450	TIP2;3	2.12E-169	1.19	0.89	0.36
AT3G22890	APS1	4.19E-168	1.11	0.86	0.35
AT4G34230	CAD-5	1.21E-166	1.09	0.85	0.28
AT5G52310	RD29A	9.03E-163	1.13	0.84	0.30
AT1G43160	RAP2.6	3.39E-159	1.10	0.90	0.33
AT4G38810		9.39E-159	1.06	0.80	0.28
AT1G17290	AlaAT1	2.95E-157	1.19	0.81	0.32
AT2G32240		1.73E-156	1.16	0.95	0.53
AT1G20450	LTI45	1.39E-155	1.05	1.00	0.72
AT2G23810	TET8	8.46E-153	1.06	0.86	0.34
AT1G37130	NR2	7.46E-150	1.19	0.79	0.30
AT1G07135		4.37E-148	1.17	0.86	0.35
AT5G13190	GILP	7.39E-146	1.41	0.80	0.35
AT1G14870	PCR2	2.00E-142	1.07	0.95	0.51
AT2G43820	UGT74F2	7.11E-142	1.06	0.79	0.27
AT3G21070	NADK1	7.24E-137	1.05	0.83	0.33
AT4G21850	MSRB9	1.82E-129	1.16	0.94	0.59
AT4G30290	XTH19	6.74E-119	1.30	0.85	0.46
AT5G11670	NADP-ME2	3.05E-116	1.05	0.86	0.42

