Cluster 9: Cortex/Hair cells I					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT4G12545		0	3.29	0.95	0.18
AT1G65310	XTH17	0	3.20	0.90	0.15
AT4G12550	AIR1	0	3.19	0.88	0.21
AT1G14960		0	2.68	0.89	0.16
AT1G70850	MLP34	0	2.49	0.94	0.21
AT4G22666		0	2.43	0.89	0.23
AT1G06120		0	2.34	0.80	0.08
AT5G64100		0	2.34	0.91	0.26
AT3G01190		0	2.26	0.94	0.28
AT4G23400	PIP1D	0	2.23	0.95	0.30
AT2G37130		0	2.16	0.90	0.19
AT5G17820		0	2.09	0.94	0.24
AT5G46900		0	1.97	0.97	0.48
AT1G53830	PME2	0	1.96	0.85	0.24
AT3G28550		0	1.91	0.95	0.27
AT3G29250	SDR4	0	1.89	0.97	0.38
AT4G30280	XTH18	0	1.88	0.94	0.41
AT5G60660	PIP2F	0	1.81	0.94	0.36
AT3G09260	PYK10	0	1.81	0.99	0.69
AT5G46890		0	1.79	0.97	0.52
AT1G23720		0	1.77	0.90	0.23
AT3G26520	TIP2	0	1.42	0.98	0.58
AT5G44610	PCAP2	0	1.39	0.91	0.33
AT2G30930		3.23E-297	1.85	0.94	0.52
AT4G20260	PCAP1	2.12E-294	1.38	1.00	0.71
AT4G14880	OLD3	1.29E-290	1.30	0.99	0.75
AT4G33740		1.55E-290	1.56	0.79	0.27
AT4G12510		1.51E-284	1.62	0.89	0.35
AT1G03870	FLA9	1.53E-283	1.56	0.86	0.34
AT5G48010	THAS1	1.82E-283	1.53	0.89	0.35
AT4G29350	PRO2	1.45E-280	1.29	0.98	0.72
AT3G16420	PBPI	4.12E-275	1.73	0.94	0.50
AT2G22170	PLAT2	2.34E-264	1.34	0.95	0.57
AT3G61430	PIP1A	1.39E-259	1.47	0.96	0.50
AT3G01290	HIR2	2.40E-249	1.31	0.84	0.33
AT1G04040		3.81E-245	1.62	0.81	0.31
AT1G72150	PATL1	8.42E-243	1.27	0.94	0.52
AT2G31570	GPX2	9.38E-243	1.27	0.91	0.45
AT5G40730	ATAGP24	1.31E-242	1.44	0.96	0.60
AT1G30690		1.68E-237	1.56	0.88	0.45
AT1G22530	PATL2	1.96E-237	1.50	0.91	0.52
AT4G12520		1.51E-221	1.41	0.86	0.36
AT5G10430	ATAGP4	6.32E-220	1.51	0.88	0.49
AT4G35100	SIMIP	1.19E-212	1.39	0.91	0.59
AT1G63220		1.10E-211	1.22	0.81	0.35
AT5G19230		1.02E-209	1.25	0.86	0.40
AT5G47990	THAD1	3.40E-205	1.41	0.82	0.38
AT5G23750		3.49E-193	1.28	0.80	0.37
AT3G28940		2.45E-186	1.32	0.82	0.42
AT5G48000	THAH1	1.93E-174	1.24	0.78	0.34

