Cluster 13: Stele I					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT1G12080		0	2.93	0.88	0.15
AT4G11210		0	2.11	0.78	0.14
AT1G62480		1.79E-156	1.73	0.91	0.48
AT4G26320	AGP13	2.04E-132	1.01	0.84	0.33
AT1G20440	RD17	4.18E-128	0.99	0.99	0.76
AT1G55330	ATAGP21	7.31E-112	1.07	0.91	0.49
AT5G56540	ATAGP14	5.52E-103	1.14	0.88	0.50
AT4G34050	CCoAOMT1	1.62E-79	0.73	0.92	0.55
AT5G65670	IAA9	3.34E-77	0.94	0.78	0.53
AT1G72150	PATL1	5.06E-72	1.02	0.84	0.54
AT5G53250	ATAGP22	5.41E-69	1.06	0.81	0.49
AT3G13520	ATAGP12	4.51E-68	0.76	0.94	0.65
AT5G11740	ATAGP15	4.80E-66	0.66	0.93	0.68
AT2G45820		7.88E-63	0.76	0.84	0.55
AT5G17920	ATMS1	7.96E-54	0.88	0.85	0.68
AT4G13940	SAHH1	1.62E-49	0.75	0.87	0.70
AT3G23030	IAA2	5.83E-46	1.05	0.81	0.62
AT2G32240		6.63E-45	0.63	0.80	0.54
AT2G19760	PRF1	7.43E-38	0.66	0.79	0.59
AT1G22530	PATL2	2.37E-35	0.58	0.79	0.53
AT5G54940		2.05E-32	0.96	0.87	0.80
AT3G16640	TCTP	2.58E-29	0.53	0.86	0.73
AT3G18780	LSR2	6.46E-27	0.71	0.83	0.72
AT3G05880	RCI2A	2.96E-26	0.62	0.77	0.62

