Cluster 10: Cortex/Hair cells II					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT2G43820	UGT74F2	0	2.00	0.81	0.25
AT2G43590		0	1.99	0.80	0.13
AT4G30280	XTH18	0	1.62	0.94	0.41
AT1G65310	XTH17	0	1.12	0.76	0.15
AT4G12545		0	0.97	0.78	0.19
AT2G37130		0	0.86	0.82	0.19
AT5G64100		3.93E-284	1.19	0.83	0.27
AT1G70850	MLP34	6.96E-276	0.98	0.80	0.22
AT5G19230		1.20E-274	1.24	0.90	0.40
AT1G53830	PME2	1.50E-268	1.16	0.79	0.24
AT5G02020	SIS	2.56E-261	1.23	0.78	0.25
AT5G45280		4.12E-259	1.14	0.92	0.42
AT3G28740	CYP81D11	8.22E-259	1.25	0.92	0.40
AT4G30290	XTH19	1.35E-247	1.26	0.92	0.44
AT2G17500		3.73E-223	1.00	0.89	0.37
AT4G20830		8.01E-216	1.02	0.95	0.54
AT2G25450		7.20E-203	1.06	0.90	0.46
AT5G05600		1.45E-190	1.04	0.82	0.33
AT5G06300	LOG7	8.31E-190	0.81	0.88	0.36
AT2G38470	WRKY33	3.62E-189	1.12	0.83	0.35
AT2G40000	HSPRO2	1.53E-188	0.96	0.95	0.62
AT1G08930	ERD6	1.37E-183	0.93	0.77	0.30
AT1G14870	PCR2	2.73E-175	0.86	0.93	0.50
AT4G36500		1.35E-172	1.02	0.93	0.55
AT5G21940		1.48E-172	1.02	0.90	0.48
AT3G49780	PSK4	2.98E-170	0.89	0.81	0.36
AT1G71697	CK1	1.64E-169	0.92	0.90	0.49
AT5G01750		4.67E-165	0.96	0.77	0.33
AT1G05340		2.22E-162	1.26	0.83	0.43
AT4G32020		3.53E-155	0.93	0.91	0.57
AT3G50970	XERO2	2.88E-150	0.89	0.94	0.63
AT4G05050	UBQ11	8.39E-149	0.84	0.96	0.72
AT5G03380		9.63E-149	0.85	0.91	0.55
AT4G22590	TPPG	2.24E-148	0.79	0.89	0.48
AT2G21520		7.82E-148	0.79	0.82	0.41
AT4G26080	AtABI1	5.82E-142	0.85	0.81	0.39
AT1G47128	RD21A	8.94E-142	0.84	0.88	0.47
AT1G30690		1.73E-141	0.87	0.86	0.45
AT3G63310	LFG2	2.89E-138	0.86	0.76	0.35
AT3G06500	A/N-InvC	2.40E-135	1.07	0.78	0.40
AT4G25670		1.37E-134	0.94	0.80	0.40
AT4G30600		1.93E-133	0.90	0.87	0.53
AT4G02890	UBQ14	2.29E-133	0.81	0.92	0.66
AT5G17460		1.20E-130	0.82	0.78	0.37
AT4G39090	RD19A	4.18E-121	0.79	0.92	0.68
AT3G23030	IAA2	4.17E-116	0.85	0.91	0.60
AT5G03240	UBQ3	7.24E-115	0.82	0.96	0.80
AT5G27760		2.19E-113	0.88	0.84	0.48
AT5G01410	RSR4	7.34E-111	0.87	0.76	0.42
AT5G03210	DIP2	7.74E-91	0.79	0.76	0.41

