Cluster 8: Cortex II					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT1G12090	ELP	0	2.63	0.88	0.15
AT1G13930		0	2.63	0.88	0.14
AT1G21310	RSH	0	2.39	0.95	0.35
AT5G13930	TT4	0	2.15	0.82	0.18
AT1G13420	ST4B	0	2.03	0.87	0.21
AT4G30170		0	1.96	0.92	0.34
AT3G51240	TT6	0	1.89	0.87	0.24
AT4G22460		0	1.82	0.76	0.16
AT3G44310	NITI	0	1.81	0.83	0.16
AT5G42250		0	1.79	0.81	0.13
AT5G08640	FLS1	0	1.78	0.77	0.17
AT5G65390	AGP7	0	1.65	0.86	0.32
AT5G40450		0	1.60	0.96	0.55
AT1G03870	FLA9	0	1.58	0.87	0.32
AT2G43150		0	1.54	0.94	0.48
AT3G19450	CAD-C	0	1.37	0.96	0.47
AT2G37040	PAL1	0	1.26	0.85	0.30
AT3G17020		0	1.25	0.76	0.29
AT4G23400	PIP1D	0	1.21	0.81	0.30
AT2G45960	TMP-A	0	1.19	0.97	0.68
AT5G02270	NAP9	2.28E-299	1.35	0.89	0.49
AT5G46890		6.40E-298	1.44	0.92	0.51
AT4G12520		4.63E-297	1.45	0.83	0.35
AT4G24220	VEP1	1.12E-294	1.24	0.83	0.38
AT5G60660	PIP2F	1.14E-285	1.13	0.84	0.35
AT1G72160		1.80E-276	1.16	0.75	0.29
AT2G22170	PLAT2	3.00E-273	1.10	0.91	0.56
AT4G20260	PCAP1	9.78E-270	1.12	0.98	0.71
AT4G34050	CCoAOMT1	1.01E-267	1.04	0.96	0.52
AT1G05850	POM1	2.36E-266	0.99	0.93	0.59
AT3G26520	TIP2	8.24E-263	1.18	0.95	0.57
AT4G35100	SIMIP	1.02E-262	1.28	0.91	0.58
AT1G01620	TMP-B	6.20E-260	1.12	0.96	0.69
AT5G04120		8.68E-249	1.30	0.76	0.29
AT3G61430	PIP1A	4.56E-235	1.28	0.89	0.50
AT4G32410	RSW1	8.32E-230	0.97	0.78	0.37
AT3G05900		3.26E-223	0.93	0.81	0.35
AT2G30490	REF3	7.07E-222	0.94	0.86	0.44
AT5G46900		8.64E-218	1.21	0.87	0.48
AT4G12510		2.00E-215	1.20	0.77	0.34
AT5G10430	ATAGP4	4.18E-212	1.25	0.82	0.48
AT5G48000	THAH1	8.39E-211	1.04	0.77	0.33
AT5G51040	SDHAF2	2.64E-208	0.93	0.87	0.54
AT2G37170	PIP2B	6.36E-208	1.08	0.88	0.54
AT5G47990	THAD1	7.03E-205	1.00	0.78	0.37
AT3G53420	PIP2A	4.67E-204	1.16	0.93	0.58
AT5G54160	OMT1	3.15E-195	1.04	0.79	0.40
AT5G48010	THAS1	2.67E-172	0.93	0.76	0.35
AT5G56540	ATAGP14	6.71E-169	0.96	0.84	0.49
AT5G53250	ATAGP22	3.73E-143	1.05	0.79	0.48

