Cluster 15: Stele III					
Gene ID	Gene Symbol	p-value	Average difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT4G23800	3xHMG-box2	0	3.68	0.92	0.03
AT4G31840	ENODL15	0	3.17	0.85	0.01
AT5G16250		0	2.82	0.87	0.00
AT1G50490	UBC20	0	2.53	0.87	0.02
AT3G23890	TOPII	0	2.42	0.81	0.02
AT1G08560	SYP111	0	2.36	0.83	0.00
AT2G28620		0	1.87	0.80	0.04
AT3G57150	NAP57	5.49E-120	1.78	0.77	0.10
AT2G21660	GR-RBP7	7.56E-93	1.81	0.95	0.24
AT2G37190		7.59E-93	1.69	0.84	0.17
AT2G29550	TUB7	2.13E-92	1.67	0.86	0.19
AT4G18730	RPL16B	2.38E-91	1.62	0.89	0.20
AT3G49010	RSU2	4.35E-87	1.69	0.91	0.22
AT2G27710		4.29E-85	1.70	0.92	0.23
AT3G25520	RPL5A	5.74E-84	1.66	0.94	0.25
AT3G05560		1.11E-83	1.64	0.89	0.22
AT3G22230		2.20E-83	1.67	0.87	0.21
AT1G41880		2.22E-83	1.60	0.91	0.23
AT5G39740	RPL5B	2.87E-81	1.60	0.85	0.20
AT5G16130		1.75E-79	1.61	0.87	0.21
AT2G18020	EMB2296	1.98E-79	1.69	0.92	0.26
AT5G18380		2.41E-79	1.72	0.94	0.28
AT4G16720		1.33E-78	1.63	0.90	0.23
AT1G72370	RPSAA	4.78E-78	1.59	0.89	0.23
AT2G01250		9.25E-78	1.69	0.93	0.27
AT3G55750		1.51E-76	1.64	0.91	0.26
AT1G09690		7.45E-75	1.65	0.89	0.25
AT2G19730		5.88E-74	1.62	0.92	0.26
AT1G18540		2.46E-73	1.60	0.87	0.24
AT2G40205		6.01E-73	1.67	0.90	0.24
AT3G09200		5.62E-72	1.61	0.88	0.25
AT1G70600		7.82E-72	1.66	0.92	0.28
AT5G15200		1.13E-70	1.76	0.94	0.31
AT3G53740		2.11E-70	1.66	0.89	0.27
AT2G34480		3.65E-70	1.70	0.91	0.29
AT4G38740	ROC1	3.30E-69	1.76	0.91	0.29
AT5G27850		5.13E-69	1.67	0.90	0.28
AT4G18100		5.42E-69	1.71	0.91	0.28
AT1G43170	RPL3A	1.41E-68	1.61	0.87	0.26
AT3G04400	emb2171	4.04E-68	1.62	0.95	0.32
AT3G62250	UBQ5	5.71E-68	1.64	0.92	0.31
AT5G02960		3.81E-66	1.61	0.90	0.28
AT1G77940		4.76E-66	1.64	0.85	0.24
AT4G17390		1.40E-65	1.61	0.88	0.28
AT5G20290		8.26E-65	1.70	0.93	0.33
AT3G53020	STV1	2.16E-64	1.60	0.94	0.35
AT3G60245		7.04E-63	1.70	0.92	0.33
AT3G04840		1.54E-61	1.62	0.80	0.24
AT4G27090		2.03E-61	1.63	0.92	0.32
AT4G39200		2.34E-59	1.63	0.89	0.32

