Cluster 5: Columella I					
Gene ID	Gene Symbol	p-value	Average Difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT2G04025	RGF3	0	3.37	0.88	0.01
AT1G04610	YUC3	7.22E-200	2.61	0.78	0.11
AT5G09960		2.96E-172	2.51	0.85	0.17
AT5G02380	MT2B	5.71E-123	2.64	0.96	0.37
AT4G15910	DI21	2.77E-93	1.26	0.76	0.18
AT4G16720		3.74E-59	0.95	0.75	0.23
AT2G36950		3.91E-59	1.39	0.89	0.42
AT4G27090		3.50E-54	0.90	0.84	0.32
AT3G04400	emb2171	6.04E-53	0.92	0.84	0.32
AT5G20290		7.72E-53	0.80	0.86	0.33
AT4G09320	NDPK1	1.60E-51	0.96	0.79	0.31
AT5G15200		8.90E-49	0.71	0.83	0.31
AT2G34480		1.27E-48	0.77	0.79	0.29
AT1G67430		9.95E-48	0.80	0.85	0.35
AT3G60245		1.38E-47	0.76	0.83	0.33
AT4G33865		1.40E-47	0.83	0.80	0.31
AT3G52590	UBQ1	3.22E-47	0.80	0.87	0.38
AT5G23820	ATML3	1.13E-46	1.29	0.77	0.35
AT5G02960		3.17E-44	0.75	0.77	0.28
AT3G11940	RPS5A	8.25E-44	0.79	0.79	0.31
AT5G27850		1.47E-42	0.70	0.75	0.27
AT1G14320	SAC52	7.34E-42	0.86	0.84	0.42
AT5G67600	WIH1	1.84E-41	0.93	0.78	0.37
AT1G11670		2.59E-39	1.04	0.78	0.40
AT3G59540		1.90E-38	0.77	0.76	0.31
AT1G56280	DI19	7.09E-38	1.07	0.78	0.48
AT3G16640	TCTP	3.32E-37	0.83	0.94	0.73
AT3G14990	DJ-1a	7.12E-35	0.88	0.80	0.40
AT1G02780	emb2386	7.25E-32	0.63	0.77	0.34
AT1G20450	LTI45	5.02E-31	0.84	0.96	0.73
AT3G06700		1.67E-29	0.67	0.77	0.38
AT5G60390		1.25E-26	0.59	0.86	0.55
ATCG01130	YCF1.2	1.01E-24	0.79	0.78	0.47
AT5G65020	AtANN2	1.80E-19	0.51	0.80	0.55
AT5G65207		1.76E-08	0.53	0.85	0.69

