Cluster 2: Non-hair cells II					
Gene ID	Gene Symbol	p-value	Average difference	Fraction Expressing w/in Cluster	Fraction Expressing Outside Cluster
AT1G09200	H3.1	0	2.99	0.97	0.14
AT5G59870	HTA6	0	2.87	0.91	0.04
AT5G59690		0	2.86	0.95	0.11
AT5G10400		0	2.82	0.87	0.03
AT5G65360	ATH3.1	0	2.62	0.90	0.08
AT5G22880	HTB2	0	2.55	0.86	0.05
AT1G07820		0	2.41	0.90	0.13
AT3G27360		0	2.34	0.77	0.04
AT5G59970		0	2.29	0.88	0.12
AT3G54560	HTA11	0	2.04	0.82	0.04
AT1G07790	HTB1	0	2.03	0.76	0.10
AT2G28740	HIS4	0	2.01	0.76	0.08
AT3G45980	HTB9	2.03E-289	2.16	0.91	0.22
AT5G59910	HTB4	7.39E-273	2.32	0.95	0.28
AT3G53730		3.26E-259	2.20	0.92	0.26
AT2G37470		1.17E-254	2.06	0.82	0.19
AT1G51060	HTA10	4.09E-245	2.19	0.91	0.28
AT3G46030	HTB11	2.52E-215	2.18	0.90	0.31
AT1G06760		9.87E-214	1.85	0.84	0.23
AT2G30620		8.50E-186	1.75	0.77	0.20
AT3G20670	HTA13	1.58E-180	1.80	0.86	0.28
AT2G36160		6.63E-180	1.41	0.78	0.19
AT3G49010	RSU2	2.44E-179	1.46	0.80	0.21
AT2G39460	RPL23AA	5.03E-177	1.45	0.84	0.24
AT1G09690		5.48E-177	1.44	0.83	0.23
AT2G40205		1.75E-171	1.44	0.83	0.23
AT5G16130		1.95E-171	1.46	0.77	0.20
AT4G16720		8.87E-170	1.42	0.80	0.22
AT3G49910		6.89E-169	1.43	0.82	0.24
AT5G27670	HTA7	1.99E-168	1.69	0.76	0.22
AT2G19730		6.89E-168	1.47	0.84	0.25
AT2G27710		6.92E-168	1.42	0.80	0.22
AT5G02960		1.04E-167	1.48	0.86	0.27
AT3G25520	RPL5A	5.03E-166	1.41	0.82	0.24
AT2G41840		3.65E-165	1.44	0.81	0.24
AT5G20290		1.86E-163	1.52	0.90	0.32
AT2G34480		9.47E-161	1.50	0.85	0.28
AT3G60245		1.31E-160	1.52	0.89	0.32
AT5G15200		3.91E-158	1.54	0.87	0.30
AT3G04400	emb2171	5.32E-157	1.47	0.88	0.31
AT4G27090		5.39E-157	1.47	0.88	0.31
AT5G18380		8.53E-157	1.45	0.83	0.27
AT3G24830		9.88E-155	1.41	0.79	0.23
AT4G17390		5.88E-153	1.42	0.82	0.27
AT4G39200		2.33E-152	1.40	0.87	0.31
AT5G27850		7.89E-152	1.48	0.82	0.27
AT2G18020	EMB2296	2.03E-150	1.39	0.80	0.25
AT1G43170	RPL3A	1.67E-148	1.44	0.79	0.25
AT3G11940	RPS5A	1.62E-145	1.41	0.84	0.30
AT3G52590	UBQ1	9.72E-141	1.40	0.90	0.37

